price_basis,provinsi,year,quarter,period,sector_code,sector_name,value_billion_idr
ADHB,Aceh,2020,Q1,2020Q1,A,"Pertanian, Kehutanan dan Perikanan",13233.9
ADHB,Aceh,2020,Q1,2020Q1,B,Pertambangan dan Penggalian,1723.62
ADHB,Aceh,2020,Q1,2020Q1,C,Industri Pengolahan,1727.17
ADHB,Aceh,2020,Q1,2020Q1,D,Pengadaan Listrik dan Gas,56.51
ADHB,Aceh,2020,Q1,2020Q1,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",19.58
ADHB,Aceh,2020,Q1,2020Q1,F,Konstruksi,4259.66
ADHB,Aceh,2020,Q1,2020Q1,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",6041.26
ADHB,Aceh,2020,Q1,2020Q1,H,Transportasi dan Pergudangan,2485.07
ADHB,Aceh,2020,Q1,2020Q1,I,Penyediaan Akomodasi dan Makan Minum,657.89
ADHB,Aceh,2020,Q1,2020Q1,J,Informasi dan Komunikasi,1297.56
ADHB,Aceh,2020,Q1,2020Q1,K,Jasa Keuangan dan Asuransi,926.42
ADHB,Aceh,2020,Q1,2020Q1,L,Real Estate,1845.15
ADHB,Aceh,2020,Q1,2020Q1,MN,Jasa Perusahaan,264.48
ADHB,Aceh,2020,Q1,2020Q1,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",3847.71
ADHB,Aceh,2020,Q1,2020Q1,P,Jasa Pendidikan,1194.78
ADHB,Aceh,2020,Q1,2020Q1,PDRB,Produk Domestik Regional Bruto,41372.76
ADHB,Aceh,2020,Q1,2020Q1,Q,Jasa Kesehatan dan Kegiatan Sosial,1176.57
ADHB,Aceh,2020,Q1,2020Q1,RSTU,Jasa Lainnya,615.45
ADHB,Aceh,2020,Q2,2020Q2,A,"Pertanian, Kehutanan dan Perikanan",12387.3
ADHB,Aceh,2020,Q2,2020Q2,B,Pertambangan dan Penggalian,1908.5
ADHB,Aceh,2020,Q2,2020Q2,C,Industri Pengolahan,1956.6
ADHB,Aceh,2020,Q2,2020Q2,D,Pengadaan Listrik dan Gas,58.93
ADHB,Aceh,2020,Q2,2020Q2,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",21.02
ADHB,Aceh,2020,Q2,2020Q2,F,Konstruksi,4198.85
ADHB,Aceh,2020,Q2,2020Q2,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",6072.02
ADHB,Aceh,2020,Q2,2020Q2,H,Transportasi dan Pergudangan,1257.95
ADHB,Aceh,2020,Q2,2020Q2,I,Penyediaan Akomodasi dan Makan Minum,630.13
ADHB,Aceh,2020,Q2,2020Q2,J,Informasi dan Komunikasi,1349.28
ADHB,Aceh,2020,Q2,2020Q2,K,Jasa Keuangan dan Asuransi,879.86
ADHB,Aceh,2020,Q2,2020Q2,L,Real Estate,1768.02
ADHB,Aceh,2020,Q2,2020Q2,MN,Jasa Perusahaan,254.43
ADHB,Aceh,2020,Q2,2020Q2,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",4326.21
ADHB,Aceh,2020,Q2,2020Q2,P,Jasa Pendidikan,1294.18
ADHB,Aceh,2020,Q2,2020Q2,PDRB,Produk Domestik Regional Bruto,40117.01
ADHB,Aceh,2020,Q2,2020Q2,Q,Jasa Kesehatan dan Kegiatan Sosial,1174.43
ADHB,Aceh,2020,Q2,2020Q2,RSTU,Jasa Lainnya,579.31
ADHB,Aceh,2020,Q3,2020Q3,A,"Pertanian, Kehutanan dan Perikanan",13224.83
ADHB,Aceh,2020,Q3,2020Q3,B,Pertambangan dan Penggalian,1944.98
ADHB,Aceh,2020,Q3,2020Q3,C,Industri Pengolahan,2029.53
ADHB,Aceh,2020,Q3,2020Q3,D,Pengadaan Listrik dan Gas,57.76
ADHB,Aceh,2020,Q3,2020Q3,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",20.99
ADHB,Aceh,2020,Q3,2020Q3,F,Konstruksi,4655.07
ADHB,Aceh,2020,Q3,2020Q3,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",5982.73
ADHB,Aceh,2020,Q3,2020Q3,H,Transportasi dan Pergudangan,1916.42
ADHB,Aceh,2020,Q3,2020Q3,I,Penyediaan Akomodasi dan Makan Minum,647.47
ADHB,Aceh,2020,Q3,2020Q3,J,Informasi dan Komunikasi,1289.56
ADHB,Aceh,2020,Q3,2020Q3,K,Jasa Keuangan dan Asuransi,855.17
ADHB,Aceh,2020,Q3,2020Q3,L,Real Estate,1788.23
ADHB,Aceh,2020,Q3,2020Q3,MN,Jasa Perusahaan,257.76
ADHB,Aceh,2020,Q3,2020Q3,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",4222.29
ADHB,Aceh,2020,Q3,2020Q3,P,Jasa Pendidikan,1316.3
ADHB,Aceh,2020,Q3,2020Q3,PDRB,Produk Domestik Regional Bruto,42142.82
ADHB,Aceh,2020,Q3,2020Q3,Q,Jasa Kesehatan dan Kegiatan Sosial,1312.81
ADHB,Aceh,2020,Q3,2020Q3,RSTU,Jasa Lainnya,620.93
ADHB,Aceh,2020,Q4,2020Q4,A,"Pertanian, Kehutanan dan Perikanan",12701.85
ADHB,Aceh,2020,Q4,2020Q4,B,Pertambangan dan Penggalian,1833.09
ADHB,Aceh,2020,Q4,2020Q4,C,Industri Pengolahan,1879.69
ADHB,Aceh,2020,Q4,2020Q4,D,Pengadaan Listrik dan Gas,54.27
ADHB,Aceh,2020,Q4,2020Q4,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",20.67
ADHB,Aceh,2020,Q4,2020Q4,F,Konstruksi,4643.81
ADHB,Aceh,2020,Q4,2020Q4,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",6507.41
ADHB,Aceh,2020,Q4,2020Q4,H,Transportasi dan Pergudangan,1989.49
ADHB,Aceh,2020,Q4,2020Q4,I,Penyediaan Akomodasi dan Makan Minum,711.13
ADHB,Aceh,2020,Q4,2020Q4,J,Informasi dan Komunikasi,1253.45
ADHB,Aceh,2020,Q4,2020Q4,K,Jasa Keuangan dan Asuransi,849.18
ADHB,Aceh,2020,Q4,2020Q4,L,Real Estate,1763.91
ADHB,Aceh,2020,Q4,2020Q4,MN,Jasa Perusahaan,281.59
ADHB,Aceh,2020,Q4,2020Q4,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",4679.95
ADHB,Aceh,2020,Q4,2020Q4,P,Jasa Pendidikan,1438.98
ADHB,Aceh,2020,Q4,2020Q4,PDRB,Produk Domestik Regional Bruto,42739.73
ADHB,Aceh,2020,Q4,2020Q4,Q,Jasa Kesehatan dan Kegiatan Sosial,1472.5
ADHB,Aceh,2020,Q4,2020Q4,RSTU,Jasa Lainnya,658.77
ADHB,Aceh,2021,Q1,2021Q1,A,"Pertanian, Kehutanan dan Perikanan",12684.02
ADHB,Aceh,2021,Q1,2021Q1,B,Pertambangan dan Penggalian,2107.88
ADHB,Aceh,2021,Q1,2021Q1,C,Industri Pengolahan,2032.72
ADHB,Aceh,2021,Q1,2021Q1,D,Pengadaan Listrik dan Gas,55.52
ADHB,Aceh,2021,Q1,2021Q1,E,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",19.56
ADHB,Aceh,2021,Q1,2021Q1,F,Konstruksi,4341.13
ADHB,Aceh,2021,Q1,2021Q1,G,"Perdagangan Besar dan Eceran, Reparasi Mobil dan Sepeda Motor",5894.11
ADHB,Aceh,2021,Q1,2021Q1,H,Transportasi dan Pergudangan,2365.36
ADHB,Aceh,2021,Q1,2021Q1,I,Penyediaan Akomodasi dan Makan Minum,574.51
ADHB,Aceh,2021,Q1,2021Q1,J,Informasi dan Komunikasi,1334.26
ADHB,Aceh,2021,Q1,2021Q1,K,Jasa Keuangan dan Asuransi,871.92
ADHB,Aceh,2021,Q1,2021Q1,L,Real Estate,1815.1
ADHB,Aceh,2021,Q1,2021Q1,MN,Jasa Perusahaan,256.47
ADHB,Aceh,2021,Q1,2021Q1,O,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",4102.01
ADHB,Aceh,2021,Q1,2021Q1,P,Jasa Pendidikan,1293.29
ADHB,Aceh,2021,Q1,2021Q1,PDRB,Produk Domestik Regional Bruto,41704.72
ADHB,Aceh,2021,Q1,2021Q1,Q,Jasa Kesehatan dan Kegiatan Sosial,1332.73
ADHB,Aceh,2021,Q1,2021Q1,RSTU,Jasa Lainnya,624.1
